# a(Å)   Energy(Ry)
runs/pt_fcc_A.out 
2.00 -182.71484249
2.05 -186.14182199
2.10 -189.13787491
2.15 -191.77994096
2.20 -194.11973435
2.25 -196.18805728
2.30 -198.01736116
2.35 -199.62897753
2.40 -201.04355121
2.45 -202.28597217
2.50 -203.37761204
2.55 -204.33640575
2.60 -205.18051616
2.65 -205.92215759
2.70 -206.57206712
2.75 -207.14065190
2.80 -207.63721672
2.85 -208.07004682
2.90 -208.44652696
2.95 -208.77338818
3.00 -209.05661907
3.05 -209.30150373
3.10 -209.51268908
3.15 -209.69426567
3.20 -209.84983270
3.25 -209.98256937
3.30 -210.09528005
3.35 -210.19043510
3.40 -210.27022276
3.45 -210.33657820
3.50 -210.39120851
3.55 -210.43562422
3.60 -210.47115953
3.65 -210.49899002
3.70 -210.52015259
3.75 -210.53555875
3.80 -210.54601307
3.85 -210.55222000
3.90 -210.55480288
3.95 -210.55430384
4.00 -210.55119966
4.05 -210.54591420
4.10 -210.53881683
4.15 -210.53022673
4.20 -210.52042494
4.25 -210.50965423
4.30 -210.49812427
4.35 -210.48601518
4.40 -210.47348264
4.45 -210.46065875
4.50 -210.44765755
4.55 -210.43457331
4.60 -210.42148733
4.65 -210.40846940
4.70 -210.39557915
4.75 -210.38286583
4.80 -210.37036784
4.85 -210.35811787
4.90 -210.34614189
4.95 -210.33445974
5.00 -210.32308730
